key,value,
27167ef098fb57bd8e6296ee371238f8e87542ab,22,
,,
6a79b960cccdb78a7bc290e56eb905e9623427e6,1,
,,
7d7a184f799d34d3c19508fdb99a5b3eea659601,2,
,,
b97971a29c6a2a80d86ff068ca8f4109d8027646,2,
,,
adb3b9be4bd9ecb41510fddacfbd162da90c78e9,1,
,,
0b9b098460630e042f9da09df8b764feb1bfe419,0,
,,
e2c283e8e07ff3d1579897ba438c9472c83af9b7,7,
,,
b93b61585c9e674aae6f21eac66bb29a35552c21,2,
,,
a9b93263428172a3e73ada87471a1d27ea6647dd,1,
,,
8231915024e67439473a4fa4d1f2d56356f0d6d6,1,
,,
19b779cce70f59282c82574916a10dcc7c23d9d4,1,
,,
27148acf1674724fd0d0d9f1d922444adc6e3054,6,
,,
08b4e3cf3f33623a5043300ad07a66601409ebe0,1,
,,
3ec71c319befe23712179321071ccd893832a9d5,2,
,,
35f1802ab87a30cafddfc1acab4bae6dfbded33d,1,
,,
35f56ddb39f4465c575b6d9508cf5a8dbd308526,1,
,,
1e4764bc681d4f16e7dcb1bb0c5025e12a85a6bf,2,
,,
fab793c214fff8881d5122e6f5fe753e517985ca,4,
,,
e0a78d947d34040887bb63eccd4431466f95fc82,1,
,,
2eab57a2d534da8b3fa5bf61d7cddbd3cbacc8c7,1,
,,
31959718cf01d7d421bef44bbeaf1d118b81bb3b,1,
,,
a1afa185a352287c5fcced9a34c5f7f23ab2bbc2,3,
,,
254f77d5efd09b5715a8f2df598caa06edce7365,2,
,,
a13f574e3ab14492c18d41dde0a6f61b4e72981f,1,
,,
5575fb7e672081dcb0c533e9a291d87a7b1ac70d,1,
,,
de97f0a464a8fd24c8e553e4d4d24601b9687560,2,
,,
c1bfab3c23a6c6eafc5842ba13f59cff1df8b6ee,1,
,,
9d5bf05bb565d3fe4f50f6ec41eacf2c93712480,1,
,,
0ccead2125c5c48062974a29f8268e1f20ebe4ba,1,
,,
53bc77b54d9612dd1d503860fff97aadddef9473,1,
,,
9d3e45b7e4230b1483cf26cde8c7e0d42215ce23,1,
,,
9e465d4f1af217c2304e9e779056287a79f8ec4c,14,
,,
3418d3e2da66bf5ecc19b5e073794c866711e776,159,
,,
495f131ff5b031a2b47391b3d38283a2e0849b52,3,
,,
7d579a971b8ac3673f8c16370a7a8fc9d2cf7825,1,
,,
3e2cb9f89ab5061b6cc1e67fceedbdb3075eafe3,1,
,,
7d3e2d66a04f395a222d8b0553f26029266d5f23,1,
,,
382813b42bb401a2ed23fe63c39dde08c09e38ec,1,
,,
5fcb69bd0f6f3be54d14a4a0700b400720bc7271,1,
,,
fb3b34bef760883be4e559cc6bace662dbe5f3d2,4,
,,
0a5a33082034938450956fceccfd43f5da756a09,1,
,,
1d5d315d57dc11300b3bd3e447cbbcd2d4baf919,2,
,,
4768549bc9a67b68f81225c60522517f5ce807e7,1,
,,
1b6bd5dd799193397078c8b80cc264b8c3b3c15a,4,
,,
1a7a6d176e3c4b21368de9e9d203fe230746e1df,1,
,,
d49a7314f01b87bbaeeeee78963a408d541c0082,1,
,,
cb51da5ea868bf459e05550c5202c7cb11d2c85a,1,
,,
a4e3f7e037ca5e943ca3abd3b273e6f2b73a1a49,4,
,,
2207022f82eecda840726674eb3da4bc73fabd9c,1,
,,
59cabb763e478f886a984487e6ac3da94c0a5d01,5,
,,
9aa83a152715ed396d32ad31df55ffea834fda6c,1,
,,
3d363fcaf7374985fa3367c2314d92118470b6d6,4,
,,
498df5db73acaa6599029c48a2b793737e60d76d,2,
,,
da898f58f27f59c33286ef019741003cc1d70f29,2,
,,
4dfbe82910151b3b19c756404d49e0c16d62532c,1,
,,
7eba2c55cd191cc39b555eff638185fc58473532,1,
,,
564c2fa66e93f02cd8ea6906c2b4a34cf7fbd179,0,
,,
c7e077de010b232ac878d186562911e19686ae49,2,
,,
aa249e9f7f07d138da68ba794393c8e89b1cd710,2,
,,
32b31feebbb241ffbebca2ba7b1b202c347081ab,30,
,,
1aca70a5361857bb41ea1e1af0859ca60cf1dbd6,2,
,,
bd47adf7fb0894ab6776a2bb0115a37ae62adbb6,11,
,,
79e4302088dcdf1dcad9f11229cdd3f79a591237,9,
,,
a4b1c485e1c3f4a6f4a9dd04aa22b3f3e2e873b8,3,
,,
1fd3b6609c7f8013c25b87661f069a62881329d3,1,
,,
037caa4000c72ac42b6b792abd49bd07888edd8b,10,
,,
5a4328db7de0adf539da2cc3a73ee0e066bf436c,1,
,,
92685b4699e9b514008e03aac16f811bcf84a660,13,
,,
905b64e0409b45906028496b751a6e5bc3489132,5,
,,
edab4a6ed319729d5307cd0b659db52c5b9c2302,2,
,,
5fae9465d182c37cf53dd12c79637963f32fd13a,2,
,,
7d16de3c0700bae4edec438ab833a819374566fc,10,
,,
b8a099189ecc0af15d0f3796662ae880de492544,1,
,,
e76f40d494dff84719e055fb1f4ba223b36b2cec,7,
,,
07d0ebeb5751100da471aef6481a6467fd6e6fd9,1,
,,
82f5fc6b30947894054c099d0c841e9d0cc80794,1,
,,
d9135a1bf70a2e70fde231953a5c7281f8fbfef5,1,
,,
237ac187aabc0aa156f1ce9edeadc089c342eca5,1,
,,
5184b5d736b926fdcfb860e55203b48398e3f0ef,0,
,,
0347d729d2dffdb2f8e4fde9a35bf08f19fc00e7,1,
,,
6d435df60b5c2534a76aadc8c5c6d7582faea024,1,
,,
edaa1cdde5074214c936e3e57b0e891a45af9567,10,
,,
9fbe39c02633191be52ba26151c9ee83ff94bb6b,1,
,,
ba86d14b750ecd08ed9ec3f642a0d443135f3bd9,30,
,,
685a58cea0fd28f6626f4723676111febd83633e,1,
,,
1d75e27373ee0f8ce7dc80a6090b998565380ac7,3,
,,
6d10f416d81dc2eb8796bb3c5a79a4d29fb21349,1,
,,
4541fbf048fa89db610cd25c735394bcc49501fb,8,
,,
4a30dff5241c759934ca287fb0838c35df0ed5b3,1,
,,
eea5ce469f12c22a1ddb12418978db67b23f2151,6,
,,
05106bd5ed507d8c9374275fe5e6d483586fe27d,10,
,,
4c9ea4e090de94c92ef503da277a334b4bf3941d,1,
,,
066711959456c8090c29c60c07afa629b0507458,7,
,,
2b7194d81c96204de7f33d575110c039b18a41f9,9,
,,
ed6088f7183be37eb798fa5b5466017475cc1845,2,
,,
cbf05b276cd471113a12851f9d56bb2e8de2acf4,2,
,,
84af1965c074a3101682f6543eb7eaad046c6bce,1,
,,
74aeb3ed00b3d64adcd4f89d559d132208b79858,4,
,,
5f8ce446eefbd0fb6c91beffe1968e566e8ba402,2,
,,
b63f5bc61ea1db8f9d0a7b1a662662d1d46e6d6c,4,
,,
07360d280d86c643ecebf81ef1eeea7d38e73de9,1,
,,
df557245a3c1cf57c4bea80cbc23291421a3225a,7,
,,
c06e9ac992597916727576a9ea88ec35390dd368,1,
,,
d9546fc66b9492ef0c10d2baf2fed0260b85b64c,1,
,,
1cfd40c0771c4ebfd83fc0066aa56b0e77491e30,1,
,,
9c1b180338a5961ece11744e5808a17dd82ef605,2,
,,
a660cd912b86a386429061db6256537026f7ab61,1,
,,
7047d68165db137cb6acdf084c218a77e17e8e80,6,
,,
2aaf300919f4f0ac72e3b6445c70af22059d6247,1,
,,
